name,rating,date,text
Pieces the sun,5,3 bulan lalu,"- Viewnyaaa mayan bagusssslah🦦🦦
- Pasirnya enak
- Senja ketutupan bukit🙁 but still pretty🤩
-masuknya sekitar 30k? lupa🙂‍↕️
- kamar mandinya agak serem yh
- Sekitar 30 menit dari Balam
- akses ke sana udah aspal semuaa, dan juga beberapa ada nanjak yhh
- minus banyak kapal gais
- buat berenang oke si karena ombaknya santuy🌊🌊"
Pieces the sun,5,3 bulan lalu,"- Viewnyaaa mayan bagusssslah🦦🦦
- Pasirnya enak
- Senja ketutupan bukit🙁 but still pretty🤩
-masuknya sekitar 30k? lupa🙂‍↕️
- kamar mandinya agak serem yh
- Sekitar 30 menit dari Balam
- akses ke sana udah aspal semuaa, dan juga beberapa ada nanjak yhh
- minus banyak kapal gais
- buat berenang oke si karena ombaknya santuy🌊🌊"
Nurafla Nabilla,2,3 bulan lalu,"Kamar mandi ada pup, orang selesai solat mau istirahat Sebntr di usir
Karyawannya kasar"" sombong tidak ramah :((
Padahal mau liburan jadi badmood"
Nurafla Nabilla,2,3 bulan lalu,"Kamar mandi ada pup, orang selesai solat mau istirahat Sebntr di usir
Karyawannya kasar"" sombong tidak ramah :((
Padahal mau liburan jadi badmood"
Martin Elisa,5,3 bulan lalu,
Martin Elisa,5,3 bulan lalu,
Supras Setiawan,5,4 bulan lalu,Mantap..
Supras Setiawan,5,4 bulan lalu,Mantap..
Tuing Sutuing,5,4 bulan lalu,
Tuing Sutuing,5,4 bulan lalu,
Rifngatul Khasanah,5,4 bulan lalu,
Rifngatul Khasanah,5,4 bulan lalu,
Lutfi Hamzah,5,4 bulan lalu,
Lutfi Hamzah,5,4 bulan lalu,
davina putri,5,4 bulan lalu,
davina putri,5,4 bulan lalu,
Sofwan Halimi,5,4 bulan lalu,Indah pantai
Sofwan Halimi,5,4 bulan lalu,Indah pantai
Yohanes Parlindungans,5,4 bulan lalu,
Yohanes Parlindungans,5,4 bulan lalu,
Ade Ria Septa utami,5,4 bulan lalu,"Pantai yang indah, jadi kangen lampung"
Ade Ria Septa utami,5,4 bulan lalu,"Pantai yang indah, jadi kangen lampung"
Inu Stiyevo,4,4 bulan lalu,Bersih. Lautnya berair jernih. Anak kecil bisa berenang.
Inu Stiyevo,4,4 bulan lalu,Bersih. Lautnya berair jernih. Anak kecil bisa berenang.
iday paiz,5,4 bulan lalu,
iday paiz,5,4 bulan lalu,
Barok,5,4 bulan lalu,
Barok,5,4 bulan lalu,
M khanif Musofan,5,4 bulan lalu,
M khanif Musofan,5,4 bulan lalu,
Agusman Rahmadi,5,5 bulan lalu,"Bersih, nyaman"
Agusman Rahmadi,5,5 bulan lalu,"Bersih, nyaman"
Khalisa oshi putri,5,5 bulan lalu,Mantap
Khalisa oshi putri,5,5 bulan lalu,Mantap
Icaa2006 09,5,5 bulan lalu,
Icaa2006 09,5,5 bulan lalu,
Muhammad Fajar Zein Nasution,1,5 bulan lalu,
Muhammad Fajar Zein Nasution,1,5 bulan lalu,
Mutiara Hardiningtyas,5,5 bulan lalu,
Mutiara Hardiningtyas,5,5 bulan lalu,
Muhammad Isa Ahdiatullah,5,5 bulan lalu,2025
Muhammad Isa Ahdiatullah,5,5 bulan lalu,2025
Alfarabi,4,5 bulan lalu,"Kalo kawan-kawan mau kesini dengan keluarga harus memperhatikan 3 hal :
Pantai Mutun itu ada 3 lokasi :
1. Lokasi yang masuknya tanpa palang gerbang alias dikelola warga lokal, akan dikenakan tarif 50 ribu per mobil (sudah termasuk orang2 yang ada di dalam mobil), lokasi pantainya sempit dan banyak banget orangnya kalo disini cocok untuk tipe orang ekstrovert
2. Lokasi yang masuknya ada palang keluar masuk mobil dan dipagar keliling pantainya. Tiket masuk aku dengan keluarga 3 orang tarifnya 65 ribu. Terus sewa gazebo 50 ribu. Pantainya bagus, pasirnya luas, lebih enak ketimbang yang pertama. Banyak permainan untuk dilautnya juga, banana boat dll.
3. Lokasi ke tiga ini aku belum pernah, tapi mirip2 dengan lokasi kedua."
Alfarabi,4,5 bulan lalu,"Kalo kawan-kawan mau kesini dengan keluarga harus memperhatikan 3 hal :
Pantai Mutun itu ada 3 lokasi :
1. Lokasi yang masuknya tanpa palang gerbang alias dikelola warga lokal, akan dikenakan tarif 50 ribu per mobil (sudah termasuk orang2 yang ada di dalam mobil), lokasi pantainya sempit dan banyak banget orangnya kalo disini cocok untuk tipe orang ekstrovert
2. Lokasi yang masuknya ada palang keluar masuk mobil dan dipagar keliling pantainya. Tiket masuk aku dengan keluarga 3 orang tarifnya 65 ribu. Terus sewa gazebo 50 ribu. Pantainya bagus, pasirnya luas, lebih enak ketimbang yang pertama. Banyak permainan untuk dilautnya juga, banana boat dll.
3. Lokasi ke tiga ini aku belum pernah, tapi mirip2 dengan lokasi kedua."
kang review jujur,1,Diedit 5 bulan lalu,"masuk tiket bayar mahal 30rb perorang, pantainya kotor, mau bilas bayar lagi, mau parkir bayar lagi, ada pondokan bayarnya lebih mahal😂
pantai pungli!
kebanyakan bayar.

mending ke lampung selatan, pantai banyak dan bagus2, sekali bayar aja sudah bisa menikmati semua fasilitas lengkap yg jauh lebih bagus.

pantesan aja sepi banget"
kang review jujur,1,Diedit 5 bulan lalu,"masuk tiket bayar mahal 30rb perorang, pantainya kotor, mau bilas bayar lagi, mau parkir bayar lagi, ada pondokan bayarnya lebih mahal😂
pantai pungli!
kebanyakan bayar.

mending ke lampung selatan, pantai banyak dan bagus2, sekali bayar aja sudah bisa menikmati semua fasilitas lengkap yg jauh lebih bagus.

pantesan aja sepi banget"
